date,confirmed,recovered,dead,new_cases,active
2020-03-16,119,13,2,6,104
2020-03-17,142,14,3,23,125
2020-03-18,156,14,3,14,139
2020-03-19,194,15,4,38,175
2020-03-20,244,20,5,50,219
2020-03-21,330,23,4,86,303
2020-03-22,396,27,7,66,362
2020-03-23,499,27,10,103,462
2020-03-24,536,40,10,37,486
2020-03-25,657,43,12,121,602
2020-03-26,727,45,20,70,662
2020-03-27,887,73,20,160,794
2020-03-28,987,84,24,100,879
2020-03-29,1024,95,27,37,902
2020-03-30,1251,102,32,227,1117
2020-03-31,1397,123,35,146,1239
2020-04-01,1998,148,58,601,1792
2020-04-02,2543,191,72,545,2280
2020-04-03,2567,192,72,24,2303
2020-04-04,3082,229,86,515,2767
2020-04-05,3588,229,99,506,3260
2020-04-06,4778,375,136,1190,4267
2020-04-07,5311,421,150,533,4740
2020-04-08,5916,506,178,605,5232
2020-04-09,6725,620,226,809,5879
2020-04-10,7598,774,246,873,6578
2020-04-11,8446,969,288,848,7189
2020-04-12,9205,1080,331,759,7794
2020-04-13,10453,1181,358,1248,8914
2020-04-14,11487,1359,393,1034,9735
2020-04-15,12322,1432,405,835,10485
2020-04-16,13430,1768,448,1108,11214
2020-04-17,14352,2041,486,922,11825
2020-04-18,15722,2463,521,1370,12738
2020-04-19,17615,2854,559,1893,14202
